iter	Passed	Remaining
685	2036	932
686	2039	929
687	2042	926
688	2045	923
689	2047	919
690	2050	916
691	2054	914
692	2058	912
693	2061	908
694	2069	908
695	2072	905
696	2074	901
697	2077	898
698	2084	897
699	2087	894
700	2091	891
701	2093	888
702	2096	885
703	2100	883
704	2104	880
705	2110	878
706	2118	877
707	2123	875
708	2132	875
709	2137	873
710	2143	871
711	2149	869
712	2154	867
713	2160	865
714	2166	863
715	2171	861
716	2181	860
717	2186	858
718	2191	856
719	2197	854
720	2200	851
721	2203	848
722	2206	845
723	2210	842
724	2214	839
725	2217	836
726	2220	834
727	2224	830
728	2227	827
729	2231	825
730	2233	821
731	2236	818
732	2239	815
733	2242	812
734	2247	810
735	2249	806
736	2251	803
737	2255	800
738	2257	797
739	2261	794
740	2263	791
741	2265	787
742	2268	784
743	2272	781
744	2274	778
745	2279	775
746	2281	772
747	2284	769
748	2287	766
749	2290	763
750	2294	760
751	2296	757
752	2300	754
753	2303	751
754	2306	748
755	2310	745
756	2312	742
757	2315	739
758	2318	736
759	2321	733
760	2325	730
761	2327	726
762	2329	723
763	2333	720
764	2336	717
765	2340	714
766	2342	711
767	2344	708
768	2347	705
769	2350	702
770	2354	699
771	2357	696
772	2360	693
773	2362	689
774	2366	686
775	2368	683
776	2372	681
777	2375	677
778	2377	674
779	2380	671
780	2383	668
781	2387	665
782	2390	662
783	2393	659
784	2399	657
785	2403	654
786	2406	651
787	2408	648
788	2414	645
789	2417	642
790	2421	639
791	2423	636
792	2426	633
793	2430	630
794	2433	627
795	2436	624
796	2438	621
797	2441	618
798	2445	615
799	2448	612
800	2452	609
801	2454	605
802	2456	602
803	2460	599
804	2463	596
805	2467	593
806	2469	590
807	2471	587
808	2475	584
809	2484	582
810	2486	579
811	2490	576
812	2500	575
813	2503	571
814	2506	568
815	2508	565
816	2512	562
817	2515	559
818	2517	556
819	2520	553
820	2523	550
821	2526	547
822	2530	544
823	2532	540
824	2535	537
825	2538	534
826	2542	531
827	2546	528
828	2548	525
829	2550	522
830	2553	519
831	2557	516
832	2561	513
833	2564	510
834	2566	507
835	2569	504
836	2573	501
837	2577	498
838	2580	495
839	2583	492
840	2588	489
841	2592	486
842	2594	483
843	2596	479
844	2600	477
845	2604	474
846	2609	471
847	2611	468
848	2618	465
849	2621	462
850	2626	459
851	2628	456
852	2633	453
853	2639	451
854	2643	448
855	2648	445
856	2651	442
857	2657	439
858	2660	436
859	2666	434
860	2670	431
861	2673	427
862	2675	424
863	2681	422
864	2686	419
865	2689	416
866	2693	413
867	2697	410
868	2703	407
869	2705	404
870	2709	401
871	2713	398
872	2718	395
873	2721	392
874	2724	389
875	2728	386
876	2732	383
877	2736	380
878	2739	377
879	2744	374
880	2748	371
881	2751	368
882	2755	365
883	2759	362
884	2764	359
885	2767	356
886	2771	353
887	2778	350
888	2782	347
889	2785	344
890	2790	341
891	2796	338
892	2798	335
893	2801	332
894	2805	329
895	2808	325
896	2812	322
897	2814	319
898	2816	316
899	2820	313
900	2823	310
901	2827	307
902	2829	303
903	2831	300
904	2835	297
905	2838	294
906	2843	291
907	2845	288
908	2847	285
909	2851	282
910	2854	278
911	2858	275
912	2860	272
913	2862	269
914	2866	266
915	2869	263
916	2873	260
917	2876	256
918	2878	253
919	2881	250
920	2885	247
921	2888	244
922	2890	241
923	2893	237
924	2896	234
925	2900	231
926	2903	228
927	2907	225
928	2909	222
929	2913	219
930	2916	216
931	2920	213
932	2922	209
933	2925	206
934	2927	203
935	2930	200
936	2933	197
937	2937	194
938	2940	190
939	2943	187
940	2946	184
941	2949	181
942	2953	178
943	2955	175
944	2957	172
945	2960	169
946	2964	165
947	2968	162
948	2970	159
949	2973	156
950	2975	153
951	2979	150
952	2982	147
953	2986	144
954	2988	140
955	2992	137
956	2994	134
957	2997	131
958	3001	128
959	3003	125
960	3005	121
961	3008	118
962	3012	115
963	3015	112
964	3018	109
965	3020	106
966	3023	103
967	3026	100
968	3029	96
969	3033	93
970	3035	90
971	3037	87
972	3040	84
973	3042	81
974	3045	78
975	3049	74
976	3051	71
977	3053	68
978	3056	65
979	3059	62
980	3063	59
981	3065	56
982	3067	53
983	3071	49
984	3074	46
985	3078	43
986	3080	40
987	3083	37
988	3086	34
989	3089	31
990	3093	28
991	3095	24
992	3097	21
993	3101	18
994	3104	15
995	3107	12
996	3111	9
997	3113	6
998	3116	3
999	3120	0
